"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"444737","Mediterranean Politics","18-Aug-2023 13:56:25","Mediterranean Politics","1","1362-9395","1743-9418","","Statsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1996","","","","","","0","http://www.routledge.com/"
"444738","Mediterranean Quarterly","08-Jun-2023 11:42:57","Mediterranean Quarterly","1","1047-4552","1527-1935","","Geografi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1990","","","","","","0","http://www.dukeupress.edu/"
"444739","Mediterranean Studies","15-Aug-2023 13:31:38","Mediterranean Studies","1","0251-3072","","","Romansk","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1978","","","Faculty of Arts, University of Malta","Malta","","0","NA"
"444740","Medium Ævum","18-Aug-2023 13:56:25","Medium Ævum","1","0025-8385","2398-1423","","Gresk og latin","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1932","","","Society for the Study of Mediaeval Languages and Literature","Storbritannia","Engelsk","0","http://mediumaevum.modhist.ox.ac.uk/journal"
"444741","Medizin - Bibliothek - Information","15-Aug-2023 13:31:38","Medizin - Bibliothek - Information","1","1616-9026","2192-0222","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2001","","","","","","0","NA"
"444742","Medizinische Klinik (München. 1983. Print)","15-Aug-2023 13:31:38","Medizinische Klinik (München. 1983. Print)","1","0723-5003","1615-6722","","Generell medisin","Medisin og helsefag","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1983","","","","","","0","http://www.springerlink.com/?MUD=MP"
"444743","Medizinrecht","18-Aug-2023 13:56:25","Medizinrecht","1","0723-8886","1433-8629","","Rettsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1983","","","","","","0","http://www.springerlink.com/?MUD=MP"
"444744","Medscape women`s health","15-Feb-2016 14:02:49","Medscape women`s health","0","","1521-2076","","Generell medisin","Medisin og helsefag","","","","","","","","","","","","","","","","","","","","","1","","","2002","","","","","0","NA"
"444745","Medycyna Weterynaryjna","18-Aug-2023 13:56:25","Medycyna Weterynaryjna","1","0025-8628","","","Veterinærmedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1945","","","","","","0","NA"
"444746","Meijerbergs arkiv för svensk ordforskning","15-Aug-2023 13:31:38","Meijerbergs arkiv för svensk ordforskning","1","0348-7741","","","Nordisk","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1937","","","","","","0","NA"
