"Forlag id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","ISBN-prefix","Url","Land","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004"
"26171","The University Press of Kentucky","06-Jun-2023 12:22:29","The University Press of Kentucky","1","978-0-8131","http://www.kentuckypress.com/index.php","USA","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26229","Byggesaken AS","06-Jun-2023 12:22:29","Byggesaken AS","1","978-82-920","www.byggesaken.no","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26230","Presses de Paris Ouest","06-Jun-2023 12:22:29","Presses de Paris Ouest","1","978-2-840","http://www.pressesparisouest.fr/","Frankrike","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26242","International symposium of product innovation management","06-Jun-2023 12:22:29","International symposium of product innovation management","1","978-952-265","http://ispim.org/","Finland","","1","1","1","1","1","1","1","1","0","0","0","","","","","","","","",""
"26253","Shanghai Renmin Press and Gezhi Press","06-Jun-2023 12:22:29","Shanghai Renmin Press and Gezhi Press","1","978-7-5432","http://www.chinabookshop.net/gezhi-press-m-965.html","Kina","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26261","International Association of Sedimentologists","06-Jun-2023 12:22:29","International Association of Sedimentologists","1","978-14-4435","http://www.sedimentologists.org/publications/index/ref/extra-publications","Internasjonal","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26262","CSPG Memoirs","06-Jun-2023 12:22:29","CSPG Memoirs","1","978-0-9869425","http://www.cspg.org","Canada","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26263","Presses des Ponts","06-Jun-2023 12:22:29","Presses des Ponts","1","978-2-85978","http://www.presses-des-ponts.fr/","Frankrike","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26264","Visor Libros","06-Jun-2023 12:22:29","Visor Libros","1","978-84-9895","http://www.visor-libros.com/","Spania","","1","1","1","1","1","1","1","1","1","1","0","","","","","","","","",""
"26265","European Association of Tax Law Professors","06-Jun-2023 12:22:29","European Association of Tax Law Professors","1","","http://eatlp.org/","Internasjonal","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26266","The International Federation for Structural Concrete","06-Jun-2023 12:22:29","The International Federation for Structural Concrete","1","978-2-88394","http://www.fib-international.org/","Internasjonal","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26267","Research Press","06-Jun-2023 12:22:29","Research Press","1","978-0-87822","https://www.researchpress.com/","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26268","G. Giappichelli Editore","06-Jun-2023 12:18:58","G. Giappichelli Editore","1","978-88-921","https://www.giappichelli.it/","Italia","","1","1","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26272","Wilfrid Laurier University Press","06-Jun-2023 12:22:29","Wilfrid Laurier University Press","1","978-1-55458","http://www.wlupress.wlu.ca/press/publish.shtml","Canada","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26273","Schott Music","06-Jun-2023 12:22:29","Schott Music","1","978-3-7957","http://www.schott-music.com/","Tyskland","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26443","Pingst","06-Jun-2023 12:22:29","Pingst","1","978-91-979159","http://www.pingst.se","Sverige","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26444","Edizioni Ca'Foscari: Filologie medievali e moderne","06-Jun-2023 12:22:29","Edizioni Ca'Foscari: Filologie medievali e moderne","1","978-88-97735","http://edizionicf.unive.it/index.php/Filmemo","Italia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26445","The University of Utah Press","06-Jun-2023 12:22:29","The University of Utah Press","1","978-1-60781","http://www.uofupress.com/","USA","","1","1","1","1","1","1","1","1","1","0","0","","","","","","","","",""
"26446","Annual Reviews","06-Jun-2023 12:22:29","Annual Reviews","1","978-0-8243","http://www.annualreviews.org","USA","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26447","Tsinghua University Press","06-Jun-2023 12:22:29","Tsinghua University Press","1","978-7-30226","http://www.tup.tsinghua.edu.cn/","Kina","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26448","Stockcero","06-Jun-2023 12:22:29","Stockcero","1","978-1-934768","http://www.stockcero.com/","USA","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26449","Actuarial and Financial Mathematics Conference","06-Jun-2023 12:22:29","Actuarial and Financial Mathematics Conference","1","978-90-6569","http://www.afmathconf.ugent.be/","Belgia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26450","Forlaget Manifest AS","06-Jun-2023 12:22:29","Forlaget Manifest AS","1","978-82-928","http://www.manifest.no/","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26451","Ekho verlag","06-Jun-2023 12:22:29","Ekho verlag","1","978-3-944415","http://www.ekho-verlag.com","Tyskland","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26452","University of Cambridge, Institute for Manufacturing","06-Jun-2023 12:22:29","University of Cambridge, Institute for Manufacturing","1","978-1-902546","http://www.ifm.eng.cam.ac.uk/resources/","Storbritannia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26453","Jap Sam Books","06-Jun-2023 12:22:29","Jap Sam Books","1","978-94-90322","http://www.japsambooks.nl/en/home","Nederland","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26454","Lapin Yliopisto","06-Jun-2023 12:22:29","University of Lapland","1","978-952-310, 978-952-484","https://www.ulapland.fi/EN/Units/Lapland-University-Press","Finland","","1","1","1","1","1","1","1","1","1","0","0","","","","","","","","",""
"26455","Accademia della Crusca","06-Jun-2023 12:18:58","Accademia della Crusca","1","978-88-89369","http://www.accademiadellacrusca.it","Italia","","1","1","1","1","1","1","1","1","1","1","0","","","","","","","","",""
"26456","Franco Cesati","06-Jun-2023 12:22:29","Franco Cesati","1","978-88-7667","http://www.francocesatieditore.com","Italia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26457","C.L.E.U.P. - COOPERATIVA LIBRARIA EDITRICE UNIVERSITÀ DI PADOVA","06-Jun-2023 12:22:29","C.L.E.U.P. - COOPERATIVA LIBRARIA EDITRICE UNIVERSITÀ DI PADOVA","1","978-88-6129","http://www.cleup.it","Italia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26458","Koç University Press","06-Jun-2023 12:22:29","Koç University Press","1","978-605-5250","http://www.kocuniversitypress.com/about/","Tyrkia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26459","Verlag Hartmut Spenner","06-Jun-2023 12:22:29","Verlag Hartmut Spenner","1","978-3-89991","http://www.hartmutspenner.de/verlag","Tyskland","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26460","Verlag Dr. Rudolf Habelt GMBH","06-Jun-2023 12:22:29","Verlag Dr. Rudolf Habelt GMBH","1","978-3-7749","http://www.habelt.de/index.php?id=5","Tyskland","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26461","Edições Universidade Fernando Pessoa","06-Jun-2023 12:22:29","Edições Universidade Fernando Pessoa","1","978-989-643","http://edicoes.ufp.pt/","Portugal","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26462","Fride","06-Jun-2023 12:22:29","Fride","1","978-84-616","http://www.fride.org/","Spania","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26463","Libreria Universitaria","06-Jun-2023 12:22:29","Libreria Universitaria","1","978-88-6292","http://www.libreriauniversitaria.it","Italia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26464","Univerzita Karlova. Pedagogická fakulta","06-Sep-2023 13:45:13","Univerzita Karlova. Pedagogická fakulta","1","978-80-7290","http://kmdm.pedf.cuni.cz/","Tsjekkia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26465","Cultural Centre University of Malaya","06-Jun-2023 12:22:29","Cultural Centre University of Malaya","1","978-967-0380","http://cultural.um.edu.my/","Malaysia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26466","Centre for Consumer Science","06-Jun-2023 12:22:29","Centre for Consumer Science","1","978-91-974642","http://www.cfk.handels.gu.se/english","Sverige","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26467","Manhae Haksulweon (Manhae Academy)","06-Jun-2023 12:22:29","Manhae Haksulweon (Manhae Academy)","1","978-89-94889","http://www.poem.ac/","Sør-Korea","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26468","Nordic Atlas of Language Structures Online (NALS Online)","06-Jun-2023 12:22:29","Nordic Atlas of Language Structures Online (NALS Online)","1","978-82-90954","http://tekstlab.uio.no/nals","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26469","St. Petersburg University Press","06-Jun-2023 12:22:29","Izdatelstvo Sankt-Peterburgskogo gosudarstvennogo universiteta","1","978-5-288, 978-5-4391","https://publishing.spbu.ru/","Russland","","1","1","1","0","0","0","0","0","0","0","0","","","","","","","","",""
"26470","Russian Christian Academy for the Humanities","06-Jun-2023 12:22:29","Russian Christian Academy for the Humanities","1","978-5-88812","http://rhga.ru/index.php?lang=en","Russland","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26471","Lux Europa","06-Jun-2023 12:22:29","Lux Europa","1","978-83-910849","http://www.luxeuropa.eu/about/index.php","Internasjonal","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26472","The International Commission on Illumination","06-Jun-2023 12:22:29","The International Commission on Illumination","1","978-3-901906","http://www.cie.co.at/","Internasjonal","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26473","Editions Modulaires Europeennes","06-Jun-2023 12:22:29","Editions EME","1","978-2-8066","http://www.eme-editions.be/fr/","Belgia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26474","Polytechnic Institute of Leira","06-Jun-2023 12:22:29","Polytechnic Institute of Leira","1","978-989-97395","http://www.giturprojects.com/","Portugal","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26475","WIP Renewable Energies","06-Jun-2023 12:22:29","WIP Renewable Energies","1","978-3-936338","http://www.wip-munich.de/","Tyskland","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26476","La Découverte","06-Jun-2023 12:18:58","La Découverte","1","978-2-707","http://www.editionsladecouverte.fr/","Frankrike","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26477","Avestia Publishing","06-Jun-2023 12:22:29","Avestia Publishing","1","978-0-9867183, 978-1-927877","http://avestia.com","Canada","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26478","Manifest","06-Jun-2023 12:22:29","Manifest","1","978-82-92866","http://www.Manifest.no","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26479","Institutt for lingvistiske og nordiske studier","06-Jun-2023 12:22:29","Institutt for lingvistiske og nordiske studier","1","","http://www.hf.uio.no/iln/","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26480","Biriwa Education Services","06-Jun-2023 12:22:29","Biriwa Education Services","1","978-0-9580587","http://biriwa.com/","USA","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26481","Éditions Michel de Maule","06-Jun-2023 12:22:29","Éditions Michel de Maule","1","978-2-87623","http://www.micheldemaule.com/","Frankrike","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26482","IOE  Press","06-Jun-2023 12:22:29","IOE Press","1","978-1-85856","http://www.ioe.ac.uk/about/51210.html","Storbritannia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26483","Ex Tuto Publishing","06-Jun-2023 12:22:29","Ex Tuto Publishing","1","978-87-92598","http://www.extuto.com/","Danmark","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26484","RADMA, Research and Development Management","06-Jun-2023 12:22:29","RADMA, Research and Development Management","1","978-0-9559367","http://www.radma.ltd.uk/research--development-management-conference","Storbritannia","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26485","Rossi Smith Academic Publishing","06-Jun-2023 12:22:29","Rossi Smith Academic Publishing","1","978-0-9864597","http://rossismith.com/","Storbritannia","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26486","Presses Universitaires de Perpignan","06-Jun-2023 12:22:29","Presses Universitaires de Perpignan","1","978-2-35412","http://pup.univ-perp.fr/","Frankrike","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","",""
"26487","St. Olav forlag","06-Jun-2023 12:22:29","St. Olav forlag","1","978-82-7024","http://www.stolavforlag.no","Norge","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"26488","Klartext Verlag","06-Jun-2023 12:22:29","Klartext Verlag","1","978-3-8375","http://www.klartext-verlag.de/homepage.aspx","Tyskland","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
